W e i g h t .   a v g   u s i n g : ,   N o r m a l   ,   E x p o n e n t i a l ,   U n i f o r m   ,   V i s i t s ,   E a s t e r n ,   R o m a n i a - H u n g a r y ( 5 0 % / 5 0 % )   ,   R o m a n i a - S l o v a k i a ( 3 3 % / 3 3 % / 3 3 % )
Seb Exact,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.253166281112624,1.559499549455344,1.1554791090176533
For Normal,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.2600054044979796,1.6016020395842139,1.19533122169178
For Exponential,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.3107292985160044,1.6385768570712034,1.2021696994281532
For Uniform,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.2842617488407937,1.6118166762693824,1.193226123533994
For Visits,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.353672190281889,1.6472916607486776,1.2251519316912813
For Europe,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,0.9999999999999998,1.4293429206552963,1.1476375388807343
For Ro-Slo,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.249562020657892,1.0,1.3170632308439727
For Ro-Hu,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.2023484808702267,1.7315501524147225,0.9999999999999998
